index,Speaker,Sentence,class,opinion-tag,label,Act Tag,act_label
0,T,All right.,1,Irrelevant,0,1 - none,0
1,S,Watching me.,1,Irrelevant,0,1 - none,7
2,T,"Okay, did everybody get a note sheet.",1,Irrelevant,0,1 - none,0
3,S,Guys pay attention.,1,Irrelevant,0,1 - none,7
4,T,All right.,1,Irrelevant,0,1 - none,0
5,T,"The first one, we're looking square A.",1,Irrelevant,0,1 - none,0
6,T,What does it represent?,1,Irrelevant,0,8 - press for  accuracy,5
7,S,I didn't get one .,1,Irrelevant,0,1 - none,7
8,S,I did not get one either.,1,Irrelevant,0,1 - none,7
9,T,The first one.,1,Irrelevant,0,1 - none,0
10,T,"One, 10, a hundred.",1,Irrelevant,0,1 - none,0
11,S,"One, 10, a hundred.",1,Irrelevant,0,1 - none,7
12,T,"One, 10, and a hundred.",1,Irrelevant,0,1 - none,0
13,T,"Rose, can you help  because he didn't bring his glasses so he can't see.",1,Irrelevant,0,1 - none,0
14,T,"Now, read the first one, Daniel.",1,Irrelevant,0,2 - keeping everyone together,1
15, Daniel ,What does square A represent?,1,Irrelevant,0,1 - none,7
16,T,No.,1,Irrelevant,0,1 - none,0
17,T,We already did that.,1,Irrelevant,0,1 - none,0
18, Daniel ,A digit is given a place  blank times as much as it would be in place.,1,Irrelevant,0,2 - relating to another student,8
19,SS,10 times.,1,New,1,7 - context,0
20,T,10 times as much as it would be.,1,Adopted,4,5 - revoicing,4
21,S,First place.,1,Irrelevant,0,1 - none,7
22,T,Worth in the place to it's right.,1,Strengthened,2,1 - none,0
23,S,About one tenths.,1,Weakened,3,4 - making a claim,10
24,S,About--,1,Irrelevant,0,1 - none,7
25,T,Not about.,1,Irrelevant,0,1 - none,0
26,S,Is exactly.,1,Refuted,5,4 - making a claim,10
27,T,Worth is not-- It isn't as is.,1,Refuted,5,1 - none,0
28,T,Is worth one-tenth times as much as it would be worth in the-,1,Weakened,3,8 - press for  accuracy,5
29,S,Place.,1,Irrelevant,0,4 - making a claim,10
30,T,-place to it's-,1,Irrelevant,0,8 - press for  accuracy,5
31,S,Left.,1,Irrelevant,0,7 - context,0
32,T,-left.,1,Irrelevant,0,4 - restating,3
33,T,"For your notes, here is a place value chart with adjustments.",1,Irrelevant,0,1 - none,0
34,T,"If we think of a regular place chart, when we go this way it gets bigger.",1,Irrelevant,0,1 - none,0
35,T,Here we have our decimal point.,1,Irrelevant,0,1 - none,0
36,T,"When it goes this way, it gets smaller.",1,Strengthened,2,1 - none,0
37,T,"If you have 1/10 of the piece, which is the first one, it's a bigger piece than 1/100.",1,Strengthened,2,1 - none,0
38,T,Okay?,1,Irrelevant,0,1 - none,0
39,S,.,1,Irrelevant,0,1 - none,7
40,T,10 tenths.,1,Strengthened,2,1 - none,0
41,T,What did you say?,1,Irrelevant,0,2 - keeping everyone together,1
42,S,I said 10/100 ?,1,Weakened,3,7 - context,0
43,T,"10/100, yes.",1,Adopted,4,5 - revoicing,4
44,S,"Then a hundred, a thousand .",1,Irrelevant,0,4 - making a claim,10
45,T,All right.,1,Irrelevant,0,1 - none,0
46,T,"Okay, will you sit in .",1,Irrelevant,0,1 - none,0
47,S,Why don't  swivel to Chase?,1,Irrelevant,0,1 - none,7
48,T,Can you move it?,1,Irrelevant,0,1 - none,0
49, Emerson ,Move this?,1,Irrelevant,0,1 - none,7
50,T,Can you move it over?,1,Irrelevant,0,1 - none,0
51,T,Be careful.,1,Irrelevant,0,1 - none,0
52, Emerson ,.,1,Irrelevant,0,1 - none,7
53,S,"Very safely, Emerson.",1,Irrelevant,0,1 - none,7
54,S,It can't see me.,1,Irrelevant,0,1 - none,7
55, Emerson ,It's good enough.,1,Irrelevant,0,1 - none,7
56,S,"It won't be able to-- You did it, Emerson.",1,Irrelevant,0,1 - none,7
57,S,You did it.,1,Irrelevant,0,1 - none,7
58, Emerson ,I think it keeps turning off on swivel.,1,Irrelevant,0,1 - none,7
59,T,Open your journal page to 112.,1,Irrelevant,0,1 - none,0
60,T,Shh.,1,Irrelevant,0,1 - none,0
61,S,"Hey, at least we're on the hundredths.",1,Irrelevant,0,1 - none,7
62,S,What page was it?,1,Irrelevant,0,3 - asking for more information,9
63,S,What page?,1,Irrelevant,0,2 - relating to another student,8
64,S,112,1,Irrelevant,0,1 - none,7
65,T,We're doing it together.,1,Irrelevant,0,1 - none,0
66,T,Okay.,1,Irrelevant,0,1 - none,0
67,T,I'm going to give you-- I'm going to say some decimals and you're going to write it down.,1,Irrelevant,0,1 - none,0
68,S,"Wait, can we have a snack?",1,Irrelevant,0,1 - none,7
69,T,Is the swivle on?,1,Irrelevant,0,1 - none,0
70, Emerson ,No.,1,Irrelevant,0,1 - none,7
71, Emerson ,I think it keeps turning on.,1,Irrelevant,0,1 - none,7
72,S,Are you sure ?,1,Irrelevant,0,1 - none,7
73, Emerson ,"No, the camera is on but the swible is like .",1,Irrelevant,0,1 - none,7
74,T,"Okay, push the little button.",1,Irrelevant,0,1 - none,0
75, Emerson ,The plus?,1,Irrelevant,0,1 - none,7
76,T,"No, the other one.",1,Irrelevant,0,1 - none,0
77,T,The minus?,1,Irrelevant,0,1 - none,0
78,S,It's alive.,1,Irrelevant,0,1 - none,7
79, Victoria ,It's going to go up and down.,1,Irrelevant,0,1 - none,7
80,S,"Yes, because it's focusing on him.",1,Irrelevant,0,1 - none,7
81, Emerson ,"No, it's focusing on Ms. Carroll.",1,Irrelevant,0,1 - none,7
82,T,Did it stay on?,1,Irrelevant,0,1 - none,0
83, Emerson ,Yes.,1,Irrelevant,0,1 - none,7
84,S,It's alive.,1,Irrelevant,0,1 - none,7
85,S,It stayed.,1,Irrelevant,0,1 - none,7
86, Emerson ,Wait.,1,Irrelevant,0,1 - none,7
87, Emerson ,Victoria say something.,1,Irrelevant,0,1 - none,7
88, Victoria ,Something.,1,Irrelevant,0,1 - none,7
89, Emerson ,I thought it was a microphone.,1,Irrelevant,0,1 - none,7
90,S,Probably.,1,Irrelevant,0,1 - none,7
91,T,It is.,1,Irrelevant,0,1 - none,0
92,S,It is?,1,Irrelevant,0,1 - none,7
93,S,Hello?,1,Irrelevant,0,1 - none,7
94,S,Let me try it.,1,Irrelevant,0,1 - none,7
95,S,Are you sure the mic's ?,1,Irrelevant,0,1 - none,7
96, Emerson ,"Yes, it is.",1,Irrelevant,0,1 - none,7
97, Emerson ,It is.,1,Irrelevant,0,1 - none,7
98,S,Hello.,1,Irrelevant,0,1 - none,7
99,S,"Hi, I'm over here.",1,Irrelevant,0,1 - none,7
100,S,Is this working?,1,Irrelevant,0,1 - none,7
101,S,Turn.,1,Irrelevant,0,1 - none,7
102,T,Is this working.,1,Irrelevant,0,1 - none,0
103,T,It worked.,1,Irrelevant,0,1 - none,0
104,S,It just worked.,1,Irrelevant,0,1 - none,7
105,S,There's a microphone?,1,Irrelevant,0,1 - none,7
106,S,Hi.,1,Irrelevant,0,1 - none,7
107,S,Try speaking into it.,1,Irrelevant,0,1 - none,7
108,S,Turn right.,1,Irrelevant,0,1 - none,7
109,T,"Okay, Michael, please go do your work.",1,Irrelevant,0,1 - none,0
110,S,Turn left.,1,Irrelevant,0,1 - none,7
111,S,Max.,1,Irrelevant,0,1 - none,7
112,T,That didn't work.,1,Irrelevant,0,1 - none,0
113,S,Turn right.,1,Irrelevant,0,1 - none,7
114,T,Here's the first one.,1,Irrelevant,0,1 - none,0
115,S,Stalker.,1,Irrelevant,0,1 - none,7
116,T,tell me you can't do it because we can't be .,1,Irrelevant,0,1 - none,0
117,S,"Guys, stop.",1,Irrelevant,0,1 - none,7
118,S,I .,1,Irrelevant,0,1 - none,7
119,S,We can do it.,1,Irrelevant,0,1 - none,7
120,T,I hope so.,1,Irrelevant,0,1 - none,0
121,T,I hope you guys do a better job.,1,Irrelevant,0,1 - none,0
122,T,Here we go.,1,Irrelevant,0,1 - none,0
123,T,The first one is five and 16/100.,1,Irrelevant,0,1 - none,0
124,S,What are we doing?,1,Irrelevant,0,3 - asking for more information,9
125,T,You write it in this first.,1,Irrelevant,0,1 - none,0
126,S,Wait.,1,Irrelevant,0,1 - none,7
127,S,Five and 16/100?,1,Irrelevant,0,1 - none,7
128,T,"This is a ten, this a hundred, this is a thousand.",1,Irrelevant,0,1 - none,0
129,T,This is a one.,1,Irrelevant,0,1 - none,0
130,S,5.16,1,Irrelevant,0,7 - context,0
131,T,Okay.,1,Irrelevant,0,1 - none,0
132,T,It's five and 16/100.,1,Strengthened,2,5 - revoicing,4
133,T,"If you have that, your five single and your whole numbers.",1,Irrelevant,0,1 - none,0
134,S,.,1,Irrelevant,0,1 - none,7
135,T,"Yes, that's your ones and then 16/100.",1,Strengthened,2,1 - none,0
136,T,"You want to go to the hundredths place, so you're--",1,Irrelevant,0,1 - none,0
137,S,Like that?,1,Irrelevant,0,4 - making a claim,10
138,T,No.,1,Refuted,5,1 - none,0
139,S,No.,1,Refuted,5,1 - none,7
140,S,You want to write the tenths.,1,Irrelevant,0,4 - making a claim,10
141,T,You only have one digit.,1,Refuted,5,1 - none,0
142,T,"No, you only have one digit per place.",1,Irrelevant,0,1 - none,0
143,S,You want to go 5016.,1,Irrelevant,0,4 - making a claim,10
144,T,You went all the way to the thousands.,1,Irrelevant,0,1 - none,0
145,S,Yes.,1,Adopted,4,1 - none,7
146,S,516,1,Irrelevant,0,7 - context,0
147,T,516,1,Irrelevant,0,4 - restating,3
